Id,Title,Field_common_malay_title,Field_common_mandarin_title,Body,Field_common_malay_description,Field_common_mandarin_descriptio,Brand,Duty Free,Field_product_image,Category,Sub Category,Image,Field_new_arrival,Field_original_price,Field_old_price,Field_product_offer,Product Code,Field_best_seller,Field_promotions,Level,Field_created_date,Field_updated_date,Field_products_published,Field_promotion_title,Field_malay_promotion_title,Field_mandarin_promotion_title,Status,Created At,Updated At,Field_airport,Field_store_location,Field_product_terms_conditions,Field_malay_terms_and_conditions,Field_mandarin_terms_and_conditi
602,JW 18YO 1L,,,"<p>This sophisticated super-premium blend, incorporates up to 18 different Scotch whiskies from among our most famous Malt and Grain distilleries across the four corners of Scotland. The blend is rich in Malt Whiskies that have been matured in oak casks under carefully controlled conditions for 18 years which makes them exceptionally well rounded and supremely smooth. Rich flavours of stewed fruit, malty cereal, smooth creamy vanilla, fragrant almonds and tangerines give a fruity and sweet character balanced with a subtle smokiness. The intense flavours will reward you with a substantially long taste experience and a lingering finish. Best enjoyed neat or on the rocks to unlock the fruity and sweet character of this elegant blend. The discerning choice when you want to make a special occasion truly exceptional and a memorable gift for any whisky lover.</p>",,,JOHNNIE WALKER,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/JW%2018YO%201L.jpg,No,594,,,10092458,Yes,No,,,,,,,,True,2025-04-20 03:04:43,2025-05-15 13:05:55,"klia1, kota kinabalu, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR, DUTY FREE, Duty Free Emporium",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
601,32Y  50CL,,,"<p>Royal Salute 32 Years Old celebrates the Union of the crown, which saw the unification of Ireland, Scotland and England under the British Monarchy. An exquisite blend of hand- selected single malt and grain whiskies aged for a minimum of 32 years, it is presented in a magnificent porcelainflagon with a unique glaze. Notes of smooth orange balanced with soft ripe pear with a touch of moist ginger cake. A never ending finish.</p>",,,Royal Salute,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/ROYAL%20SALUTE%2032Y%20%2050CL.jpg,No,2261,,,10150324,Yes,No,,,,,,,,True,2025-04-20 02:04:44,2025-07-29 14:07:49,"klia1, kota kinabalu, penang, klia2","Duty Free Emporium 1, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, DUTY FREE, Duty Free Emporium",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
600,TENNESSEE WHISKEY 1L,,,"<p>A top selling bottling from the Jack Daniel distillery, the mashbill is made up of 80% corn, 12% rye and 8% malt. The spirit is filtered through 10 feet of sugar maple charcoal to produce a mellow, slightly smoky character, thus making it Tennessee Whisky.</p>",,,Jack Daniel,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/JACK%20DANIEL%27S%20TENNESSEE%20WHISKEY%201L.jpg,No,159,,,10002575,Yes,No,,,,,,,,True,2025-04-20 02:04:51,2025-07-29 14:07:42,"klia1, kuching, penang, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR, DUTY FREE, DUTY FREE, Liquor &amp; Cigarettes",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
599,THE GLENLIVET FOUNDERS RESERVE 1L,,,"<p>Boasting the classic flavours of The Glenlivet bound up in a creamy, smooth texture, this expression is our tribute to the one who started it all. Using a method by founder George Smith, the whisky is matured in a selection of traditional and American first-fill oak casks. It is then combined with American first-fill oak barrels, which have never been used to mature whisky before. Selective use of these casks gives this single malt a well-balanced sweet and smooth taste. Its flavour is sprinkled with citrus fruity tones, complementing its pale gold colour.</p>",,,GLENLIVET,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/THE%20GLENLIVET%20FOUNDERS%20RESERVE%201L.jpg,No,282,,,10150211,Yes,No,,,,,,,,True,2025-04-20 02:04:45,2025-05-15 14:05:14,"klia1, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR, DUTY FREE",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
598,KING ROBERT II 1L,,,"<p>""King Robert II Scotch whisky is part of a popular range of spirits including vodka, gin and rum, produced by Ian Macleod Distillers Ltd who owns Glengoyne (and now Tamdhu).</p><p>The lead expression in the range is a no-age-statement blend of grain and malt whiskies bottled at 43% abv, although the core lineup also includes a 12-year-old Highland single malt and a no-age-statement ‘deluxe’ blend sold exclusively in travel retail.</p><p>Ian Macleod claims that King Robert II contains ‘malts that are typically older than those used in competitors’ standard brands’. It is the leading Scotch whisky brand in five of the 40 overseas markets in which it is sold.""</p>",,,KING ROBERT II,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/KING%20ROBERT%20II.jpg,No,63,,,10154900,Yes,No,,,,,,,,True,2025-04-20 02:04:10,2025-05-15 14:05:48,"klia1, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR, DUTY FREE",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
597,CHANTELOUP XXO 1L,,,"<p>""Martell Chanteloup XXO is named after the historic Château de Chanteloup near Cognac, France, which is the soul of Maison Martell.</p><p>It is fitting, therefore, that Martell Chanteloup XXO takes cognac lovers right to the heart of the House , and to the very essence of its art of blending.</p><p>This legacy of savoir-faire, perpetuated through nine generations, is today in the hands of Cellar Master Christophe Valtaud, who blends Martell Chanteloup XXO from up to 450 very old eaux-de-vie, from the four most prestigious cognac crus, brought together in perfect harmony.</p><p>An unprecedent combination of richness and complexity, Martell Chanteloup XXO offers cognac lovers a complete expression of the very best of the Cognac terroir.""</p>",,,MARTELL,Yes,,WINE & SPIRITS,Brandy,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/MARTELL%20CHANTELOUP%20XXO%201L.jpg,No,3363,,,10197603,Yes,No,,,,,,,,True,2025-04-20 02:04:36,2025-07-29 14:07:51,"klia1, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
596,BAILEYS IRISH CREAM 1L,,,"<p>With innovation at its heart, Baileys was the first and is still the most-popular Irish cream liqueur. The original Irish Cream, Baileys is enjoyed around the world, with around 2,000 glasses served every minute of the day. Baileys Irish Cream has been awarded more medals at the San Francisco World Spirits Competition than any of its competitors. It is the only cream liqueur to have won a medal every year since 2003. This smooth, stylish drink draws on the Irish traditions of dairy and distilling and took over four years to perfect. It is the ultimate blend of smooth Irish cream and triple-distilled Irish whiskey. Enjoy the warm, elegant taste of Baileys Irish Cream on its own, in your favourite coffee or over vanilla ice cream. The smooth velvety texture and perfect combination of cream and whiskey delight the senses. Baileys Irish Cream can also be enjoyed on the rocks or as part of a sophisticated cocktail.</p>",,,BAILEYS,Yes,,WINE & SPIRITS,Liqueur,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/BAILEYS%20IRISH%20CREAM%201L.jpg,No,133,,,10002281,Yes,No,,,,,,,,False,2025-04-20 02:04:21,2025-07-29 14:07:28,"klia1, kuching, penang, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, WINE &amp; CIGAR, DUTY FREE, DUTY FREE, Liquor &amp; Cigarettes",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
595,18Y 70CL,,,"<p>Macallan’s legendary Sherry Oak 18 Year Old, part of a range that celebrates the marriage of its rich spirit with the finest sherry-seasoned oak casks. In this case, the result of ageing Macallan’s spirit solely in sherry casks for 18 years is a full bodied, fruity whisky with notes of ginger, raisin and mature oak.</p>",,,MACALLAN,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-08/compressed_MAC-2023-Colour-Collection-18YO-Bottle.jpg,No,1575,,,10213073,Yes,No,,,,,,,,True,2025-04-20 02:04:29,2025-08-21 15:08:42,"klia1, klia2","Duty Free Emporium 1, SPIRITS AND CONFECTIONERIES, DUTY FREE INTERNATIONAL DEPARTURE",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
594,21Y THE S/BLEND 1L,,,"<p>Royal Salute Signature Blend 21Y is an exceptionally crafted and aged Scotch whisky, starting where others end at 21 years old. Created to mark the coronation of Queen Elizabeth II and the 21 gun salute that honoured her, the brand is steeped in tradition and proud of its royal lineage, but is firmly engaged in the modern world by constantly pushing the art of blending into new, creative and ambitious forms.</p>",,,Royal Salute,Yes,,WINE & SPIRITS,Whisky,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/ROYAL%20SALUTE%2021Y.jpg,No,1378,,,10002804,Yes,No,,,,,,,,True,2025-04-20 01:04:49,2025-07-29 14:07:31,"klia1, kota kinabalu, klia2","Duty Free Emporium 2, SPIRITS AND CONFECTIONERIES, SPIRITS AND CONFECTIONERIES, DUTY FREE Emporium, INTERNATIONAL ARRIVAL, DUTY FREE, Duty Free Emporium",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
593,CHOYA YUZU 75CL,,,"<p>""An authentic, aromatic and rich yuzu liqueur made from yuzu citrus that are freshly harvested from Shikoku island, Japan. Each bottle is encased in an elegant box, making it ideal for gifting.&nbsp;</p><p>A refreshing citrusy infusion with delicate floral notes from the yuzu zest. Instant mood booster and our all-time bestseller. ""</p>",,,CHOYA,Yes,,WINE & SPIRITS,Liqueur,https://drmapssdev.blob.core.windows.net/eraman-cms-nprod/2025-04/CHOYA%20YUZU%2075CL.jpg,No,122,,,10184720,Yes,No,,,,,,,,True,2025-04-20 01:04:32,2025-05-15 14:05:29,klia2,"LIQUOR &amp; TOBACCO, DUTY FREE INTERNATIONAL DEPARTURE",<p><em>*All prices and availability are subject to change without notice.</em></p><p><em>*All prices are quoted in local currency. Conversion to foreign currencies is based on the exchange rates prevailing at the time of publication.</em></p><p><em>*The Company is not responsible for any price differences between this website and stores promoting or selling the same products.</em></p>,,
